"","otu48366","otu64777","otu47902","otu2986","otu10322","otu37875","otu16663","otu1555","otu18184","otu44494","otu70728","otu16779","otu11411"
"L.4.3",25.3036960454898,6.49263375549237,1.22512277074179,0.0516929439131559,4.10958904109589,3.77875420005169,0.496252261566296,0.0361850607392091,1.18893771000258,0.113724476608943,0.279141897131042,0.160248126130783,0.062031532695787
"L.5.3",12.7733443880195,5.67934500984558,1.36801741113069,0.0310913047984247,2.19711887242201,1.72556741631257,0.440460151311017,0.0155456523992124,0.611462327702353,0.0414550730645663,0.103637682661416,0.103637682661416,0.00518188413307078
"L.6.3",33.470108554511,4.60707422219914,0.898561263179764,0.0155819872227705,5.56276943852906,5.24593569833273,0.441489637978497,0.010387991481847,1.55300472653612,0.0155819872227705,0.0467459616683114,0.031163974445541,0.0155819872227705
"L.7.3",23.3895825714435,10.145760409592,2.49203280915313,0.0104487748811452,3.9078418055483,3.59437855911394,1.18071156156941,0.0104487748811452,1.20683349877227,0.026121937202863,0.104487748811452,0.104487748811452,0
"L.8.3",26.6190032121024,4.87514247228266,0.896280178219874,0,4.26898766967154,3.89596932960315,0.450730494249301,0,1.16568231271371,0.00518081027872759,0.0466272925085483,0.0362656719510931,0
"L.9.3",11.9006625971722,10.8154640788856,2.59299838263682,0,1.96692231439453,1.8312724996087,1.09563311942401,0,0.667814472791778,0,0.0313038034121146,0.0260865028434288,0
"L.10.3",19.3693458139413,7.12231344454322,1.37007791664488,0,3.02253830465931,2.95978664435497,0.522930502536213,0,1.1190712754275,0.0104586100507243,0.00522930502536213,0.0209172201014485,0
"L.11.3",18.6901291128696,5.14369012911287,1.14014993752603,0,3.06643065389421,2.34798000832986,0.468554768846314,0,1.0256143273636,0.0104123281965848,0.0104123281965848,0.00520616409829238,0
"L.12.3",22.4817898022893,8.02809573361082,1.84703433922997,0,3.47034339229969,3.41311134235172,0.785639958376691,0,1.18106139438085,0.0104058272632674,0.0104058272632674,0.00520291363163371,0
"L.13.3",26.4568158168574,4.06347554630593,0.764828303850156,0.00520291363163371,4.0426638917794,3.93340270551509,0.390218522372529,0,1.50364203954214,0,0,0,0
"L.14.3",26.1327658691026,3.10375253023304,0.560543935226034,0,4.12622618985831,3.76291067628588,0.326983962215187,0,1.28717496237089,0,0.0103804432449266,0,0
"L.15.3",25.4123523596441,3.13752016233935,0.535927987928612,0,3.876372339872,3.55377491024507,0.270565586138717,0,1.41526614287944,0.010406368697643,0,0,0
